goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDhgeqzSweepDouble/mode=none/n=64/stride=64       	   10000	     10815 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=128/stride=128     	    2286	     53492 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=256     	     247	    481649 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=259     	     766	    157592 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=3/stride=3            	  852145	       139.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=4/stride=4            	  546727	       223.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=5/stride=5            	  353446	       319.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=32/stride=32          	   25180	      4743 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=64/stride=64          	    6790	     17440 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=128/stride=128        	    1250	     93587 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=256        	     174	    683893 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=259        	     508	    242237 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=3/stride=3            	  884113	       138.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=4/stride=4            	  535155	       215.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=5/stride=5            	  385248	       302.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=32/stride=32          	   26850	      4468 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=64/stride=64          	    7352	     16280 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=128/stride=128        	    1371	     87324 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=256        	     181	    658014 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=259        	     530	    226217 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=3/stride=3         	  844227	       138.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=4/stride=4         	  530161	       226.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=5/stride=5         	  374011	       320.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=32/stride=32       	   21764	      5513 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=64/stride=64       	    5480	     21678 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=128/stride=128     	     990	    121116 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=256     	     136	    880873 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=259     	     375	    316400 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     574	    192686 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1073708 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      15	   7609028 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 114736125 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     436	    274393 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      72	   1631284 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       8	  13369625 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 168343250 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     297	    405139 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      50	   2367079 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       6	  18015132 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 197612250 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     160	    762685 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      27	   4246961 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  29706073 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 275809667 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=3/stride=3         	  961826	       124.7 ns/op	       0 B/op	       0 allocs/op
