goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDhgeqzSweepDouble/mode=none/n=32/stride=32       	   33454	      3561 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=64/stride=64       	   10000	     11259 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=128/stride=128     	    2166	     53846 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=256     	     244	    486287 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=259     	     830	    142268 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=3/stride=3            	  922839	       130.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=4/stride=4            	  563997	       212.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=5/stride=5            	  401628	       299.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=32/stride=32          	   27421	      4359 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=64/stride=64          	    7490	     15968 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=128/stride=128        	    1396	     85919 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=256        	     178	    669339 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=259        	     552	    221351 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=3/stride=3            	  908631	       132.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=4/stride=4            	  560932	       214.0 ns/op	       0 B/op	       0 allocs/op
